fileid	phone_carriage_state	distance_in_meters	step_size_in_sec	coarse_grain
aaadbuvp_tc4tl20.csv	pocket_hand	1.8	50	Y
aaamkcii_tc4tl20.csv	pocket_pocket	3.0	80	N
aabqtowt_tc4tl20.csv	hand_hand	1.2	60	N
aadkjwss_tc4tl20.csv	pocket_pocket	1.8	20	N
aafzrgzt_tc4tl20.csv	hand_hand	1.8	60	Y
aagsvrpi_tc4tl20.csv	pocket_hand	4.5	40	N
aahiguvq_tc4tl20.csv	hand_hand	4.5	100	Y
aajtgeuo_tc4tl20.csv	pocket_pocket	3.0	80	N
aajxgoxc_tc4tl20.csv	pocket_hand	4.5	40	Y
aakdnmxy_tc4tl20.csv	hand_hand	4.5	50	N
aakfrszz_tc4tl20.csv	pocket_pocket	4.5	50	N
aaksdobg_tc4tl20.csv	pocket_pocket	1.8	40	Y
aallyzsc_tc4tl20.csv	pocket_hand	1.8	60	Y
aalmjmzr_tc4tl20.csv	pocket_hand	4.5	30	N
aamloaan_tc4tl20.csv	pocket_pocket	3.0	60	N
aaockxdf_tc4tl20.csv	pocket_pocket	1.2	80	N
aarzgdhe_tc4tl20.csv	hand_hand	4.5	100	N
aasgrfnv_tc4tl20.csv	pocket_pocket	1.8	30	N
aatdimmc_tc4tl20.csv	pocket_pocket	1.8	90	Y
aatzvnbb_tc4tl20.csv	pocket_hand	1.8	30	Y
aautpcps_tc4tl20.csv	hand_hand	4.5	30	Y
aavvwnuq_tc4tl20.csv	hand_hand	1.8	120	Y
aawdyaia_tc4tl20.csv	pocket_pocket	4.5	70	Y
aaythpwr_tc4tl20.csv	pocket_pocket	1.8	10	Y
abaylbvs_tc4tl20.csv	pocket_pocket	4.5	90	N
abbtaqvi_tc4tl20.csv	hand_hand	4.5	50	Y
abcbxdyr_tc4tl20.csv	pocket_hand	4.5	80	Y
abetkara_tc4tl20.csv	pocket_pocket	4.5	120	Y
abfqhnda_tc4tl20.csv	hand_hand	1.8	30	N
abfzrgel_tc4tl20.csv	pocket_hand	1.2	40	N
abhkmdlf_tc4tl20.csv	pocket_hand	1.8	100	N
abhyzbev_tc4tl20.csv	hand_hand	1.8	90	N
abkbwxte_tc4tl20.csv	pocket_hand	1.8	50	N
abliuqhw_tc4tl20.csv	hand_hand	1.2	20	N
abmbmapa_tc4tl20.csv	pocket_hand	4.5	20	N
abmhdjjb_tc4tl20.csv	pocket_pocket	3.0	20	N
abmzydod_tc4tl20.csv	pocket_pocket	4.5	10	N
abnjaule_tc4tl20.csv	pocket_hand	1.2	20	N
abowpcrb_tc4tl20.csv	pocket_hand	4.5	150	N
abpoltxg_tc4tl20.csv	hand_hand	1.2	90	N
abrwazsd_tc4tl20.csv	hand_hand	1.8	70	Y
abrzlzti_tc4tl20.csv	pocket_pocket	4.5	100	N
abufckec_tc4tl20.csv	hand_hand	1.2	30	N
abwineuz_tc4tl20.csv	pocket_pocket	3.0	20	N
abwsopwz_tc4tl20.csv	pocket_hand	1.8	20	N
abztglwv_tc4tl20.csv	hand_hand	1.2	60	N
acasbueb_tc4tl20.csv	pocket_hand	3.0	150	N
acbipyil_tc4tl20.csv	hand_hand	1.8	120	N
acbojkyp_tc4tl20.csv	pocket_pocket	1.2	100	N
acdemzos_tc4tl20.csv	pocket_hand	1.8	30	N
acdoarhp_tc4tl20.csv	hand_hand	4.5	20	N
acdpeott_tc4tl20.csv	pocket_hand	4.5	40	Y
aceqffto_tc4tl20.csv	pocket_pocket	4.5	30	N
acffnnsy_tc4tl20.csv	pocket_pocket	1.2	60	N
acgbahig_tc4tl20.csv	hand_hand	4.5	90	Y
achxibry_tc4tl20.csv	hand_hand	1.8	80	N
acjtasni_tc4tl20.csv	pocket_hand	1.2	10	N
ackiyxpk_tc4tl20.csv	pocket_pocket	3.0	70	N
acklusij_tc4tl20.csv	hand_hand	1.8	10	N
ackqxpfh_tc4tl20.csv	pocket_pocket	1.2	150	N
acmucflw_tc4tl20.csv	hand_hand	1.8	20	Y
acnehlyc_tc4tl20.csv	pocket_hand	3.0	120	N
acnroklf_tc4tl20.csv	pocket_hand	1.8	150	N
acnurgfb_tc4tl20.csv	pocket_pocket	1.8	50	N
acobovzb_tc4tl20.csv	pocket_pocket	3.0	120	N
acocpzlb_tc4tl20.csv	pocket_pocket	1.8	80	N
